我检查后是血糖高的，是不是不可以吃蜂蜜了？,"['我', '检查', '后', '是', '血糖高', '的', '，', '是不是', '不', '可以', '吃', '蜂蜜', '了', '？']",禁忌,9
请问得了网膜扭转能否治好,"['请问', '得', '了', '网膜扭转', '能否', '治', '好']",治愈率,8
宝宝屁眼红怎么办,"['宝宝', '屁', '眼红', '怎么办']",治疗方法,5
脊髓压迫症是怎么回事,"['脊髓压迫症', '是', '怎么回事']",定义,0
便秘，真难受啊！,"['便秘', '，', '真', '难受', '啊', '！']",其他,12
得了间质性肺炎最多能活多久,"['得', '了', '间质性肺炎', '最多能', '活多久']",其他,12
痔疮肿痛怎么办,"['痔疮', '肿痛', '怎么办']",治疗方法,5
尿等待吃什么药，求解答,"['尿', '等待', '吃', '什么', '药', '，', '求', '解答']",治疗方法,5
请教一下皮肤纤维瘤治愈率多高,"['请教', '一下', '皮肤纤维瘤', '治愈率', '多高']",治愈率,8
怀孕后期痔疮严重怎么办？,"['怀孕', '后期', '痔疮', '严重', '怎么办', '？']",治疗方法,5
脊椎外伤怎么诊断,"['脊椎外伤', '怎么', '诊断']",临床表现(病症表现),3
一个多月的宝宝大便比较稀怎么办,"['一个多月', '的', '宝宝', '大便', '比较', '稀', '怎么办']",治疗方法,5
请教一下胸内异物得治疗几个小时,"['请教', '一下', '胸内异物', '得', '治疗', '几个', '小时']",治疗时间,11
我的心里胡思乱想怎么啊，心里老是不敞亮，,"['我', '的', '心里', '胡思乱想', '怎么', '啊', '，', '心里', '老是', '不', '敞亮', '，']",其他,12
胸口会痛，但是呼吸正常,"['胸口', '会痛', '，', '但是', '呼吸', '正常']",其他,12
请问用消糜阴道泡腾片会感觉疼不？,"['请问', '用', '消糜', '阴道', '泡腾片', '会', '感觉', '疼', '不', '？']",其他,12
室性期前收缩是什么病,"['室性期前收缩', '是', '什么', '病']",定义,0
小便恐惧是什么病？,"['小便', '恐惧', '是', '什么', '病', '？']",定义,0
血管瘤b超应是什么回声,"['血管瘤', 'b', '超应', '是', '什么', '回声']",定义,0
宝宝拉肚子的治疗办法,"['宝宝', '拉肚子', '的', '治疗', '办法']",治疗方法,5
三叉神经痛为何经常误诊为牙痛？,"['三叉神经痛', '为何', '经常', '误诊', '为', '牙痛', '？']",其他,12
脑梗嘴唇麻木手指麻木,"['脑梗', '嘴唇', '麻木', '手指', '麻木']",临床表现(病症表现),3
排尿困难。小腹痛。,"['排尿', '困难', '。', '小', '腹痛', '。']",临床表现(病症表现),3
食管癌手术后需要进行放疗吗,"['食管癌', '手术', '后', '需要', '进行', '放疗', '吗']",治疗方法,5
慢阻肺疾病有哪些预防措施？,"['慢阻', '肺', '疾病', '有', '哪些', '预防措施', '？']",预防,2
关节扭伤适合用云南白药关节止痛膏吗？,"['关节扭伤', '适合', '用', '云南白药', '关节', '止痛', '膏', '吗', '？']",治疗方法,5
什么心脏病心悸,"['什么', '心脏病', '心悸']",定义,0
问一下能否问一下疣解释,"['问', '一下', '能否', '问', '一下', '疣', '解释']",定义,0
喉咙痛，一点咳嗽，是什么情况,"['喉咙痛', '，', '一点', '咳嗽', '，', '是', '什么', '情况']",病因,1
B型淋巴瘤能治愈吗？除了化疗还有其他办法吗？,"['B型', '淋巴瘤', '能', '治愈', '吗', '？', '除了', '化疗', '还有', '其他', '办法', '吗', '？']",治疗方法,5
上厕所后有东西掉出，后缩回，便血，如何治疗？,"['上', '厕所', '后', '有', '东西', '掉', '出', '，', '后', '缩回', '，', '便血', '，', '如何', '治疗', '？']",治疗方法,5
身上有脂肪瘤割掉了一些，但是发现手上又长了,"['身上', '有', '脂肪瘤', '割掉', '了', '一些', '，', '但是', '发现', '手上', '又', '长', '了']",临床表现(病症表现),3
婴儿心绞痛是什么症状,"['婴儿', '心绞痛', '是', '什么', '症状']",临床表现(病症表现),3
请问下腹坠痛是什么病？,"['请问', '下腹', '坠痛', '是', '什么', '病', '？']",病因,1
宝宝两个月了老是拉肚子怎么办？,"['宝宝', '两个', '月', '了', '老', '是', '拉肚子', '怎么办', '？']",治疗方法,5
早期高血压可以吃这两个么，会不会有事呢,"['早期', '高血压', '可以', '吃', '这', '两个', '么', '，', '会', '不会', '有事', '呢']",其他,12
扩张型心肌病患者吃什么好？,"['扩张型心肌病', '患者', '吃', '什么', '好', '？']",治疗方法,5
金钱草颗粒孕妇尿路感染了那吃什么药,"['金钱草', '颗粒', '孕妇', '尿路感染', '了', '那', '吃', '什么', '药']",治疗方法,5
脑出血应该如何治疗？,"['脑出血', '应该', '如何', '治疗', '？']",治疗方法,5
鼻咽癌化疗期间可以吃石斛吗？,"['鼻咽癌', '化疗', '期间', '可以', '吃', '石斛', '吗', '？']",禁忌,9
请教一下外阴平滑肌瘤我会感染吗,"['请教', '一下', '外阴平滑肌瘤', '我会', '感染', '吗']",传染性,7
六十五岁曾患有糖尿病，过去十五年了病情复发。,"['六十五岁', '曾', '患有', '糖尿病', '，', '过去', '十五年', '了', '病情', '复发', '。']",临床表现(病症表现),3
老年尿频怎么治疗,"['老年', '尿频', '怎么', '治疗']",临床表现(病症表现),3
咳嗽，有痰，打阿奇霉素能吃蛋糕,"['咳嗽', '，', '有', '痰', '，', '打阿奇', '霉素', '能', '吃', '蛋糕']",禁忌,9
胸部神经针扎一样的痛请问是怎么了,"['胸部', '神经', '针扎', '一样', '的', '痛', '请问', '是', '怎么', '了']",临床表现(病症表现),3
如果得了葡萄状肉瘤要挂什么科室,"['如果', '得', '了', '葡萄状肉瘤', '要', '挂', '什么', '科室']",所属科室,6
咳嗽感冒咳了很久了支气管炎,"['咳嗽', '感冒', '咳', '了', '很', '久', '了', '支气管炎']",治疗方法,5
怎么治疗小舞蹈病,"['怎么', '治疗', '小舞蹈病']",治疗方法,5
抑郁症，心烦意燥，什么也不想吃,"['抑郁症', '，', '心烦', '意燥', '，', '什么', '也', '不想', '吃']",临床表现(病症表现),3
心包摩擦音有哪些表现和诊断？,"['心包', '摩擦音', '有', '哪些', '表现', '和', '诊断', '？']",其他,12
分水岭区脑梗死怎么回事,"['分水岭区脑梗死', '怎么回事']",临床表现(病症表现),3
产后偏头痛怎么办？可以吃什么药或其他什么偏方呢？,"['产后', '偏头痛', '怎么办', '？', '可以', '吃', '什么', '药', '或', '其他', '什么', '偏方', '呢', '？']",治疗方法,5
请问得了曲霉菌病什么人容易得,"['请问', '得', '了', '曲霉菌病', '什么', '人', '容易', '得']",传染性,7
心悸心慌吃什么水果,"['心悸', '心慌', '吃', '什么', '水果']",治疗方法,5
2个月宝宝大便像臭鸡蛋臭,"['2', '个', '月', '宝宝', '大便', '像', '臭', '鸡蛋', '臭']",相关病症,4
是不是高血压造成的心慌,"['是不是', '高血压', '造成', '的', '心慌']",病因,1
请问子宫肌瘤术后腰疼怎么回事？,"['请问', '子宫肌瘤', '术后', '腰疼', '怎么回事', '？']",临床表现(病症表现),3
眼酸碱化学伤有什么伴随,"['眼酸碱化学伤', '有', '什么', '伴随']",相关病症,4
有什么药是适合该病情的，抑郁症有什么好的推荐没？,"['有', '什么', '药是', '适合', '该', '病情', '的', '，', '抑郁症', '有', '什么', '好', '的', '推荐', '没', '？']",其他,12
请问有治疗阴茎短小的药吗,"['请问', '有', '治疗', '阴茎', '短小', '的', '药', '吗']",治疗方法,5
唐山县接种小儿麻痹症疫苗哪个医院好？,"['唐', '山县', '接种', '小儿麻痹症', '疫苗', '哪个', '医院', '好', '？']",其他,12
肛门上有伤口怎么办,"['肛门', '上', '有', '伤口', '怎么办']",治疗方法,5
如何做预防淀粉样变性,"['如何', '做', '预防', '淀粉样变性']",预防,2
来月经期间，痛经能泡脚吗？,"['来', '月经', '期间', '，', '痛经', '能', '泡', '脚', '吗', '？']",其他,12
怀孕多久会恶心,"['怀孕', '多久', '会', '恶心']",临床表现(病症表现),3
冒昧问一下白细胞减少症治好得多少年,"['冒昧', '问', '一下', '白细胞减少症', '治', '好得多', '少年']",治疗时间,11
妊娠合并偏头痛怎么回事,"['妊娠合并偏头痛', '怎么回事']",病因,1
扩张型心肌病会遗传的吗？,"['扩张型心肌病', '会', '遗传', '的', '吗', '？']",传染性,7
嘴疼耳朵疼头疼怎么办？是不是上火的症状啊？,"['嘴疼', '耳朵', '疼', '头疼', '怎么办', '？', '是不是', '上火', '的', '症状', '啊', '？']",其他,12
有心肌梗死病史的糖尿病患者如何运动?,"['有', '心肌梗死', '病史', '的', '糖尿病', '患者', '如何', '运动', '?']",其他,12
我想请问一下是赛乐特好还是盐酸氟西汀效果好啊,"['我', '想', '请问', '一下', '是', '赛乐', '特好', '还是', '盐酸', '氟西汀', '效果', '好', '啊']",其他,12
问一下苔藓样念珠状疹要做什么化验治疗吗,"['问', '一下', '苔藓样念珠状疹', '要', '做', '什么', '化验', '治疗', '吗']",化验/体检方案,10
宝宝嘴里溃疡怎么办,"['宝宝', '嘴里', '溃疡', '怎么办']",治疗方法,5
肚子微痛正常吗？,"['肚子', '微痛', '正常', '吗', '？']",病因,1
请问月经推迟9天是怀孕啦吗？,"['请问', '月经', '推迟', '9', '天是', '怀孕', '啦', '吗', '？']",其他,12
"便血,不疼,肛门不舒服,是不是痔疮发作？","['便血', ',', '不疼', ',', '肛门', '不', '舒服', ',', '是不是', '痔疮', '发作', '？']",病因,1
心绞痛能吃核桃吗,"['心绞痛', '能', '吃', '核桃', '吗']",禁忌,9
头皮神经纤维瘤要做哪些检查,"['头皮', '神经纤维瘤', '要', '做', '哪些', '检查']",化验/体检方案,10
患有胸膜炎并在出现了咳嗽的现象应该怎么办？,"['患有', '胸膜炎', '并', '在', '出现', '了', '咳嗽', '的', '现象', '应该', '怎么办', '？']",临床表现(病症表现),3
我想请问一下，尿急的治疗方法，及中西药品。,"['我', '想', '请问', '一下', '，', '尿急', '的', '治疗', '方法', '，', '及', '中西', '药品', '。']",治疗方法,5
请问得了掌指骨结核是否会传染？,"['请问', '得', '了', '掌指骨结核', '是否', '会', '传染', '？']",传染性,7
打扰问一下药物性牙龈增生要检查啥项目？,"['打扰', '问', '一下', '药物性牙龈增生', '要', '检查', '啥', '项目', '？']",化验/体检方案,10
站不稳丶还心悸是什么原因,"['站不稳', '丶', '还', '心悸', '是', '什么', '原因']",临床表现(病症表现),3
脚冷却又有汗，月经迟迟不来,"['脚', '冷却', '又', '有', '汗', '，', '月经', '迟迟', '不', '来']",其他,12
三叉神经营养性损害的症状表现是什么,"['三叉神经营养性损害', '的', '症状', '表现', '是', '什么']",临床表现(病症表现),3
问一下色素痣会传染给哪些人,"['问', '一下', '色素痣', '会', '传染给', '哪些', '人']",传染性,7
多饮多尿的病因排除糖尿病,"['多', '饮', '多', '尿', '的', '病因', '排除', '糖尿病']",其他,12
我骨折后，脚一直很肿，怎么消肿。片子为脚骷骨折。,"['我', '骨折', '后', '，', '脚', '一直', '很肿', '，', '怎么', '消肿', '。', '片子', '为', '脚', '骷', '骨折', '。']",临床表现(病症表现),3
颈部脊髓损伤怎么办,"['颈部脊髓损伤', '怎么办']",治疗方法,5
宝宝流清鼻涕怎么治疗？,"['宝宝', '流清', '鼻涕', '怎么', '治疗', '？']",治疗方法,5
脑梗患者能吃鱼肝油、海狗油吗？该患者并有糖尿病,"['脑梗', '患者', '能', '吃', '鱼肝油', '、', '海狗', '油', '吗', '？', '该', '患者', '并', '有', '糖尿病']",禁忌,9
腰酸尿频尿分叉，液尿比较多，希望快点好。,"['腰酸', '尿频', '尿', '分叉', '，', '液尿', '比较', '多', '，', '希望', '快点', '好', '。']",临床表现(病症表现),3
最近在服用复方牛胎肝提取物片有哪些注意事项呢？,"['最近', '在', '服用', '复方', '牛胎', '肝', '提取物', '片有', '哪些', '注意事项', '呢', '？']",禁忌,9
肛裂出血用什么药最好，有20多天了，,"['肛裂', '出血', '用', '什么', '药', '最好', '，', '有', '20', '多天', '了', '，']",治疗方法,5
鼻子痒痒的想打喷嚏流鼻涕,"['鼻子', '痒痒', '的', '想', '打喷嚏', '流鼻涕']",临床表现(病症表现),3
法洛四联症的症状是什么？,"['法洛四联症', '的', '症状', '是', '什么', '？']",定义,0
请教一下光感型药疹会传染给哪些人,"['请教', '一下', '光感型药疹', '会', '传染给', '哪些', '人']",传染性,7
如何才可以避开假性高血压,"['如何', '才', '可以', '避开', '假性高血压']",预防,2
你好，麻烦问一下枕颈关节损伤多大几率能治好,"['你好', '，', '麻烦', '问', '一下', '枕颈关节损伤', '多大', '几率', '能治好']",治愈率,8
孕妇拉肚子了,"['孕妇', '拉肚子', '了']",治疗方法,5
肛门内部周围出现痉挛性疼痛最佳的治疗方法是什么啊,"['肛门', '内部', '周围', '出现', '痉挛性', '疼痛', '最佳', '的', '治疗', '方法', '是', '什么', '啊']",治疗方法,5
易激惹是什么病？,"['易', '激惹', '是', '什么', '病', '？']",定义,0
140属于高血压吗？,"['140', '属于', '高血压', '吗', '？']",病因,1
两个月的宝宝拉的大便是绿色的，,"['两个', '月', '的', '宝宝', '拉', '的', '大', '便是', '绿色', '的', '，']",病因,1
外痔自己会好吗,"['外痔', '自己', '会', '好', '吗']",治疗方法,5
卵巢性不孕能治吗,"['卵巢性不孕', '能治', '吗']",治愈率,8
问一下抑郁性神经症如何体检,"['问', '一下', '抑郁性神经症', '如何', '体检']",化验/体检方案,10
就精子射入肛门会不会导致怀孕,"['就', '精子', '射入', '肛门', '会', '不会', '导致', '怀孕']",其他,12
是慢性胃炎吗怎么办,"['是', '慢性胃炎', '吗', '怎么办']",治疗方法,5
鼻咽肿瘤恢复率是多少？,"['鼻咽', '肿瘤', '恢复', '率', '是', '多少', '？']",治愈率,8
请教一下脑脊液漏是否会传染？,"['请教', '一下', '脑脊液漏', '是否', '会', '传染', '？']",传染性,7
心绞痛吃什么药效果最好,"['心绞痛', '吃', '什么', '药', '效果', '最好']",治疗方法,5
你好，麻烦问一下小儿急性喉炎痊愈几率,"['你好', '，', '麻烦', '问', '一下', '小儿急性喉炎', '痊愈', '几率']",治愈率,8
要如何治疗强迫症,"['要', '如何', '治疗', '强迫症']",治疗方法,5
我该如何避掉远视,"['我该', '如何', '避掉', '远视']",预防,2
请问胸膜炎会复发吗,"['请问', '胸膜炎', '会', '复发', '吗']",治愈率,8
大肠癌的常规检查方法有哪些,"['大肠癌', '的', '常规', '检查', '方法', '有', '哪些']",治疗方法,5
左边肚子疼，疼了半天了，拉肚子拉了两天,"['左边', '肚子疼', '，', '疼', '了', '半天', '了', '，', '拉肚子', '拉', '了', '两天']",其他,12
如果得了髌骨骨软骨病看什么医生,"['如果', '得', '了', '髌骨骨软骨病', '看', '什么', '医生']",所属科室,6
肛裂怎么回事！吃点什么药啊！,"['肛裂', '怎么回事', '！', '吃点', '什么', '药', '啊', '！']",其他,12
16岁心率才52，正常吗,"['16', '岁', '心率', '才', '52', '，', '正常', '吗']",预防,2
尿路感染会引起妇科病吗,"['尿路感染', '会', '引起', '妇科病', '吗']",相关病症,4
帕金森会心悸吗,"['帕金森', '会', '心悸', '吗']",定义,0
心包内出血是怎么回事？,"['心包', '内出血', '是', '怎么回事', '？']",定义,0
咳嗽，少量痰，咽部痒，呼吸道疼,"['咳嗽', '，', '少量', '痰', '，', '咽部', '痒', '，', '呼吸道', '疼']",临床表现(病症表现),3
你好，医生，小便细，排尿困难，谢谢,"['你好', '，', '医生', '，', '小便', '细', '，', '排尿', '困难', '，', '谢谢']",其他,12
什么导致内痔出血？,"['什么', '导致', '内痔', '出血', '？']",病因,1
结肠癌治疗多少时间,"['结肠癌', '治疗', '多少', '时间']",治疗时间,11
小孩为什么老是拉肚子,"['小孩', '为什么', '老是', '拉肚子']",病因,1
宝宝大便又硬又黑,"['宝宝', '大便', '又', '硬', '又', '黑']",临床表现(病症表现),3
请问月经持续十来天并且量一直不多怎么办啊？,"['请问', '月经', '持续', '十来天', '并且', '量', '一直', '不', '多', '怎么办', '啊', '？']",临床表现(病症表现),3
吃木瓜丸的时候饮食上要注意什么啊？,"['吃', '木瓜', '丸', '的', '时候', '饮食', '上要', '注意', '什么', '啊', '？']",禁忌,9
我总是会肚子疼,"['我', '总是', '会', '肚子疼']",临床表现(病症表现),3
你好，麻烦问一下妊娠恶阻我会染上吗,"['你好', '，', '麻烦', '问', '一下', '妊娠恶阻', '我会', '染上', '吗']",传染性,7
请问月经失调6年是绝经了吗？,"['请问', '月经', '失调', '6', '年', '是', '绝经', '了', '吗', '？']",病因,1
外痔做完手术后会复发吗,"['外痔', '做', '完', '手术', '后', '会', '复发', '吗']",治愈率,8
心脏畸形是什么病？,"['心脏', '畸形', '是', '什么', '病', '？']",定义,0
视网膜脱落如何体检？,"['视网膜脱落', '如何', '体检', '？']",化验/体检方案,10
如果得了性变态要检查啥项目？,"['如果', '得', '了', '性变态', '要', '检查', '啥', '项目', '？']",化验/体检方案,10
黄体酮偏低是否要保胎,"['黄体酮', '偏低', '是否', '要', '保胎']",预防,2
请问尿路感染的用什么药啊？,"['请问', '尿路感染', '的', '用', '什么', '药', '啊', '？']",治疗方法,5
问一下风湿热治愈率多高,"['问', '一下', '风湿热', '治愈率', '多高']",治愈率,8
舒张压高是高血压吗?,"['舒张压', '高是', '高血压', '吗', '?']",定义,0
怎么治疗胸膜炎,"['怎么', '治疗', '胸膜炎']",治疗方法,5
肺纤维化有什么症状?,"['肺纤维化', '有', '什么', '症状', '?']",临床表现(病症表现),3
膀胱外翻的症状表现是什么,"['膀胱外翻', '的', '症状', '表现', '是', '什么']",临床表现(病症表现),3
请问乳房疼是小叶增生还是乳腺癌,"['请问', '乳房', '疼', '是', '小叶增生', '还是', '乳腺癌']",相关病症,4
慢阻肺治疗方法哪种好,"['慢阻', '肺', '治疗', '方法', '哪种', '好']",治疗方法,5
什么手段可以避开心气虚,"['什么', '手段', '可以', '避开', '心气虚']",预防,2
请问得了眼睑闭合不全会传染给哪些人,"['请问', '得', '了', '眼睑闭合不全', '会', '传染给', '哪些', '人']",传染性,7
